CONCLIENTE,dataNascimentoCliente,sexoCliente,CONINSCRICAO,CONPRODUTO,periodicidadeCobranca,parcelamento,CONITEMCONTRATADO,codigoSistemaItemContratado,dataInicioVigenciaCobertura,prazoContribuicao,prazoCobertura,prazoDecrescimoItemContratado,prazoCertoRendaItemContratado,prazoMinimoGarantidoRendaItemContratado,indiceReajusteItemContratado,valorCapitalSeguradoItemContratadoInicial,CONITEMCONTRATADOBENEFICIARIO,percentualParticipacaoBeneficio,CONBENEFICIARIO,dataNascimentoBeneficiario,sexoBeneficiario
7596493,1982-12-20,F,16301732,1072,MENSAL,1,95849633,204377,2022-01-07,25,25,,,,IPCA,500000.0,1920980.0,40.0,3633312.0,1980-10-13,NÃO INFORMADO
7596493,1982-12-20,F,16301732,1072,MENSAL,1,95849633,204377,2022-01-07,25,25,,,,IPCA,500000.0,1921236.0,30.0,3633313.0,2019-06-16,MASCULINO
7596493,1982-12-20,F,16301732,1072,MENSAL,1,95849633,204377,2022-01-07,25,25,,,,IPCA,500000.0,1922051.0,30.0,3671306.0,2022-03-25,FEMININO
4740226,1975-10-23,F,16301426,1074,MENSAL,1,95849681,204374,2022-01-16,10,9999,,,,IPCA,400000.0,1902330.0,50.0,3633225.0,1974-01-18,NÃO INFORMADO
4740226,1975-10-23,F,16301426,1074,MENSAL,1,95849681,204374,2022-01-16,10,9999,,,,IPCA,400000.0,1902483.0,25.0,2590854.0,2009-12-31,MASCULINO
4740226,1975-10-23,F,16301426,1074,MENSAL,1,95849681,204374,2022-01-16,10,9999,,,,IPCA,400000.0,1902789.0,25.0,3633224.0,2006-06-28,MASCULINO
4740226,1975-10-23,F,16301423,1072,MENSAL,1,95849682,204377,2022-01-16,15,15,,,,IPCA,500000.0,1903415.0,25.0,3633224.0,2006-06-28,MASCULINO
4740226,1975-10-23,F,16301423,1072,MENSAL,1,95849682,204377,2022-01-16,15,15,,,,IPCA,500000.0,1903467.0,25.0,2590854.0,2009-12-31,MASCULINO
4740226,1975-10-23,F,16301423,1072,MENSAL,1,95849682,204377,2022-01-16,15,15,,,,IPCA,500000.0,1904027.0,50.0,3633225.0,1974-01-18,NÃO INFORMADO
7594452,1974-05-10,M,16299367,1072,MENSAL,1,95849686,204377,2022-01-07,20,20,,,,IPCA,600000.0,1903638.0,25.0,3757286.0,1997-08-05,FEMININO
7594452,1974-05-10,M,16299367,1072,MENSAL,1,95849686,204377,2022-01-07,20,20,,,,IPCA,600000.0,1903688.0,25.0,3757285.0,1995-01-15,FEMININO
7594452,1974-05-10,M,16299367,1072,MENSAL,1,95849686,204377,2022-01-07,20,20,,,,IPCA,600000.0,1904301.0,25.0,3757287.0,2000-10-06,FEMININO
